ID,Ilce_Adi,Mahalle_Adi,Bufe_Adi,Enlem,Boylam
1,MALTEPE,KÜÇÜKYALI MERKEZ,Küçükyalı Büfe,40.9468139984181,29.1113459998107
2,SANCAKTEPE,ATATÜRK,Kemal Türkler,41.0084019983536,29.218714999631
3,ESENYURT,YENİKENT,Yenikent 1,41.0428199979268,28.6804890000685
4,BEYOĞLU,PİYALEPAŞA,Piyalepaşa Büfe,41.0489869981386,28.9636899997636
5,KÜÇÜKÇEKMECE,YENİ MAHALLE,Tepeüstü Büfe,40.9967306253736,28.7763611709477
6,ESENLER,TURGUT REİS,Esenler Umut Büfe,41.0599969982109,28.8626070004091
7,SARIYER,İSTİNYE,İstinye,41.1163110761913,29.0509918988887
8,ÜMRANİYE,NAMIK KEMAL,Mevlana,41.0234509982998,29.0918509998117
9,ATAŞEHİR,FERHATPAŞA,Ferhatpaşa Büfe,40.9829459982524,29.1731229998003
10,ATAŞEHİR,İÇERENKÖY,Bostancı Köprü,40.9654799981524,29.1060949996225
11,FATİH,YAVUZ SULTAN SELİM,Haliç Büfe,41.027610998071,28.9550969996408
12,ÜMRANİYE,TANTAVİ,Maverapark,41.0314705628751,29.0869003053969
13,BAŞAKŞEHİR,KAYABAŞI,Kayaşehir 1 Büfe,41.1071509983543,28.7587299996713
14,ARNAVUTKÖY,ANADOLU,Arnavutköy Merkez,41.1847938558914,28.7414483986092
15,BAHÇELİEVLER,BAHÇELİEVLER,Kadir Has Büfe,40.995619998006,28.8640460004864
16,PENDİK,YENİŞEHİR,Cumhuriyet Büfe,40.9331669982489,29.3094169998775
17,ŞİŞLİ,KAPTANPAŞA,Ssk Okmeydanı Büfe,41.0655469980047,28.9732870000327
18,BAĞCILAR,KEMALPAŞA,Havuz Büfe,41.0467629983455,28.8503059994183
19,KÜÇÜKÇEKMECE,KANARYA,Kanarya Cami Büfe,41.0115029982163,28.78128399957
20,BAŞAKŞEHİR,ZİYA GÖKALP,Ayazma Büfe,41.0774349979275,28.7795800001468
21,ŞİŞLİ,MERKEZ,Şişli Büfe,41.0636259984298,28.9894579996185
22,KÜÇÜKÇEKMECE,ATATÜRK,Atakent 2 Büfe,41.0517419978023,28.7933749998876
23,ZEYTİNBURNU,ÇIRPICI,Modabağ Büfe,41.000447445914,28.8976094810558
24,BÜYÜKÇEKMECE,KUMBURGAZ,Kumburgaz Büfe,41.0321839977681,28.4520300000551
25,FATİH,HASEKİ SULTAN,Ufi Büfe,41.0094099986161,28.9487739999634
26,ÇEKMEKÖY,SOĞUKPINAR,Soğukpınar Büfe,41.0216969983807,29.2307960004393
27,PENDİK,GÜLLÜ BAĞLAR,Güllübağlar Bağlar,40.8947259979223,29.2739679996536
