_id,PARK_NAME,LOCATION_NAME,PARK_TYPE_ID,PARK_TYPE_DESC,CAPACITY_OF_PARK,WORKING_TIME,COUNTY_NAME,LONGITUDE,LATITUDE
1,Vali Konağı Caddesi 1,Şişli Vali Konağı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,ŞİŞLİ,28.9879749441318992,41.0488233569154986
2,Şakayık Sokak 1,Şişli Şakayık Soka,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ŞİŞLİ,28.9955656052444013,41.0495232987717031
3,Hüsrev Gerede Sokak 1,Şişli Hüsrev Gerede Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ŞİŞLİ,28.9949755781699992,41.0483895406421979
4,Sezai Selek Sokak 1,Seza-i Selek Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-19:00,ŞİŞLİ,28.9959741661449009,41.0533861999073011
5,Maçka Caddesi 1,Şişli Maçka Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-00:00,ŞİŞLİ,28.9929548331432017,41.046629692524597
6,Maçka Caddesi 6,Şişli Maçka Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-00:00,ŞİŞLİ,28.9944976003196011,41.0478293701563004
7,Taşkışla Caddesi 3,Şişli Taşkışla Caddes,YOL ÜSTÜ,YOL ÜSTÜ,0,09:00-21:00,ŞİŞLİ,28.9913023111126016,41.0479375617614011
8,Vefa Bey Sokak 1,Vefabey Soka,YOL ÜSTÜ,YOL ÜSTÜ,37,08:00-18:00,BEŞİKTAŞ,29.0066024007240983,41.0655057224779014
9,Müselles Sokak 2,Müselles Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,07:00-17:00,ŞİŞLİ,29.0115881307145003,41.0688297324024987
10,Alemdağ Caddesi 5,Alemdağ Caddes,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-19:00,ÜMRANİYE,29.0941080028221997,41.0255312371320002
11,Ihlamur Dere Caddesi 1,Ihlamur Dere Caddes,YOL ÜSTÜ,YOL ÜSTÜ,27,09:00-19:00,BEŞİKTAŞ,29.0034525176202997,41.0438016377939974
12,Ihlamur Dere Caddesi 6,Ihlamur Dere Caddes,YOL ÜSTÜ,YOL ÜSTÜ,27,09:00-19:00,BEŞİKTAŞ,29.0024029610158003,41.046383298895698
13,Dereboyu Caddesi 2,Ortaköy Dereboyu Caddes,YOL ÜSTÜ,YOL ÜSTÜ,22,09:00-18:00,BEŞİKTAŞ,29.0238075739657013,41.0525791949699013
14,Alemdağ Caddesi 21 (Test),Alemdağ Caddes,YOL ÜSTÜ,YOL ÜSTÜ,500,08:00-19:00,ÜMRANİYE,29.0992011597313009,41.0253098598845014
15,Karakol Caddesi 1,Karakol Caddes,YOL ÜSTÜ,YOL ÜSTÜ,18,08:00-19:00,BEŞİKTAŞ,29.0164071577362996,41.075402984182702
16,Gonca Esnaf Önü 1,Levent Esnaf Ön,YOL ÜSTÜ,YOL ÜSTÜ,23,08:00-19:00,BEŞİKTAŞ,29.0166958601018017,41.0759943082713974
17,Bosna Bulvarı 4,Ümraniye Bosna Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,40,08:00-19:00,ÜMRANİYE,29.0844743268431003,41.024938615784599
18,Hakimiyet-i Milliye Caddesi 2,Üsküdar Hakimiyet-i Milliye Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,ÜSKÜDAR,29.0160325169563009,41.0225429704273026
19,Perşembe Pazarı 2,Karaköy Perşembe Pazar,YOL ÜSTÜ,YOL ÜSTÜ,32,08:00-18:00,BEYOĞLU,28.9702788851638999,41.0241210457322012
20,Poyraz Yol Üstü 6,Poyraz Yol Üst,YOL ÜSTÜ,YOL ÜSTÜ,36,08:00-18:00,KADIKÖY,29.040502641684899,40.9920091951618986
21,Ataşehir Bulvarı 5,Ataşehir Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-18:00,ATAŞEHİR,29.125319123268099,40.9928440484049972
22,Kabataş Set Üstü 1,Kabataş Setüst,YOL ÜSTÜ,YOL ÜSTÜ,60,08:00-18:00,BEYOĞLU,28.9939445232644992,41.03618849195
23,Atatürk Bulvarı,Atatürk Bulvarı ,YOL ÜSTÜ,YOL ÜSTÜ,50,07:30-18:30,FATİH,28.9535198446565012,41.0122623682819025
24,Rumeli Hisar Önü Açık Otoparkı,Rumeli Hisar Ön,AÇIK OTOPARK,AÇIK OTOPARK,70,24 Saat,SARIYER,29.0567112087023993,41.0854593814071976
25,İstinye 3 ( Hastane Karşısı ),İstinye Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-18:00,SARIYER,29.0561602469287017,41.1149636096172983
26,Sarıyer Deresi Sokak 1,Sarıyer Deresi Soka,YOL ÜSTÜ,YOL ÜSTÜ,13,08:00-18:00,SARIYER,29.0570374249282999,41.1688570495517965
27,Kazım Özalp Sokak 4,Kazım Özalp Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-20:00,KADIKÖY,29.0749115135856009,40.961186620975603
28,Kazım Özalp Sokak 8,Kazım Özalp Soka,YOL ÜSTÜ,YOL ÜSTÜ,40,09:00-20:00,KADIKÖY,29.0773943554360983,40.9635441572401007
29,Yalı Köşkü Caddesi 1,Yalı Köşkü Caddes,YOL ÜSTÜ,YOL ÜSTÜ,100,07:00-22:00,FATİH,28.9754037237856998,41.0162288353241991
30,Kartal Hürriyet Caddesi 2,Kartal Hürriyet Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-18:00,KARTAL,29.1862580075555016,40.8890847976313978
31,Kartal Hürriyet Caddesi 4,Kartal Hürriyet Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-18:00,KARTAL,29.1883651661648997,40.8894515025412986
32,Kartal Savarona Caddesi 1,Kartal Savarona Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,KARTAL,29.1830874212264,40.8872001154772988
33,Pendik Lokman Hekim Caddesi 1,Pendik Lokman Hekim Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,09:00-19:00,PENDİK,29.2352065289302985,40.8794321103301996
34,Gonca Sokak 2,Gonca Soka,YOL ÜSTÜ,YOL ÜSTÜ,16,08:00-19:00,BEŞİKTAŞ,29.0169571733482989,41.0759876415464973
35,Oda Kule Önü 1,Odakule Ön,YOL ÜSTÜ,YOL ÜSTÜ,30,07:00-00:00,BEYOĞLU,28.9750607519810011,41.0322512079753992
36,Nakilbent Sokak,Nakilbent Soka,YOL ÜSTÜ,YOL ÜSTÜ,80,08:00-02:00,FATİH,28.9742909689497985,41.0039627453483035
37,Dostluk Yurdu 1,Dostluk Yurdu Soka,YOL ÜSTÜ,YOL ÜSTÜ,50,07:00-18:00,FATİH,28.972775205701101,41.0070887352289972
38,Güvenlik Caddesi 1,Güvenlik Caddes,YOL ÜSTÜ,YOL ÜSTÜ,35,08:00-18:00,FATİH,28.9566929102632997,41.0070291781100025
39,Fuat Paşa Caddesi 2,Fuat Paşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,40,07:30-18:00,FATİH,28.9660081824419997,41.0129156905849968
40,Fuat Paşa Caddesi 3,Fuat Paşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,07:30-18:00,FATİH,28.9659907739697005,41.0133649365751012
41,Ataşehir Bulvarı 15,Ataşehir Bulvar,YOL ÜSTÜ,YOL ÜSTÜ,20,08:00-18:00,ATAŞEHİR,29.1210544109343985,40.9927468719206018
42,Fevzipaşa Caddesi 9,Fevzipaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,FATİH,28.9488512660959998,41.0181810129679008
43,Fevzipaşa Caddesi 11,Fevzipaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,FATİH,28.9476636434165009,41.0193617448972034
44,Fevzipaşa Caddesi 19,Fevzipaşa Caddes,YOL ÜSTÜ,YOL ÜSTÜ,30,08:00-19:00,FATİH,28.9443834258776995,41.0227432485519969
45,Samatya Sahil,Samatya Sahi,AÇIK OTOPARK,AÇIK OTOPARK,80,12:00-22:00,FATİH,28.9327923970387992,40.9989448342937024
46,Hasanpaşa Muhtarlık Açık Otoparkı,Hasanpaşa Muhtarlık Açık Otopark,AÇIK OTOPARK,AÇIK OTOPARK,100,08:00-22:00,KADIKÖY,29.0429124017311011,40.9973787421223008
47,Akdeniz Caddesi 4,Akdeniz Caddes,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-19:00,FATİH,28.9470128094271004,41.0194602703946032
48,Bakırköy İstanbul Caddesi 9,Bakırköy İstanbul Caddes,YOL ÜSTÜ,YOL ÜSTÜ,45,08:00-19:00,BAKIRKÖY,28.879683562183299,40.9787060704662025
49,Zeytinburnu 58. Bulvar 3,Zeytinburnu 58. Bulva,YOL ÜSTÜ,YOL ÜSTÜ,34,09:00-19:00,ZEYTİNBURNU,28.9038273488434001,40.9929976511757985
50,Bayrampaşa Numunebağı Caddesi 2,Bayrampaşa Numunebağı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,BAYRAMPAŞA,28.9144279829179993,41.0321010288980972
51,Bayrampaşa Numunebağı Caddesi 3,Bayrampaşa Numunebağı Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,BAYRAMPAŞA,28.9143639643179,41.0319549000145969
52,Ahmet Kutsi Tecer Caddesi 1,Ahmet Kutsi Tecer Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,GÜNGÖREN,28.8870346708831001,41.0087304607920018
53,Ahmet Kutsi Tecer Caddesi 13,Ahmet Kutsi Tecer Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,GÜNGÖREN,28.8890375123609999,41.0055722093447983
54,Yener Sokak 1,Yener Soka,YOL ÜSTÜ,YOL ÜSTÜ,25,08:00-18:00,BEŞİKTAŞ,29.0092500399385997,41.0642034983461031
55,Sabancı Öğretmen Evi Önü 3,Sabancı Öğretmen Evi Ön,YOL ÜSTÜ,YOL ÜSTÜ,27,09:00-20:00,BEYKOZ,29.0655460030057,41.0800099578934024
56,Yeşilköy İstasyon Caddesi 3,Yeşilköy İstasyon Caddes,YOL ÜSTÜ,YOL ÜSTÜ,50,08:00-18:00,BAKIRKÖY,28.8245124883387014,40.9614558311587018
