ID,LOCATION_GROUP,LOCATION_TYPE,LOCATION_CODE,LOCATION,LONGITUDE,LATITUDE
1,Hizmet Binasi,Bina,METRO-T4 Habipler,ARNAVUTKÖY,28.843808,41.12222
2,Hizmet Binasi,Bina,059-Arnavutkoy Mezarliklar,ARNAVUTKÖY,28.751046,41.179543
3,Hizmet Binasi,Bina,001-Atasehir Darulaceze Tip Merkezi,ATAŞEHİR,29.147271,40.977937
4,Hizmet Binasi,Bina,001-Cobancesme Kurumsal Atik,BAHÇELİEVLER,28.825496,40.997055
5,Hizmet Binasi,Bina,061-Bahcelievler Yol Bakim,BAHÇELİEVLER,28.825249,40.99704
6,Hizmet Binasi,Bina,001-Florya Baskanlik Konutu,BAKIRKÖY,28.78744,40.975036
7,Hizmet Binasi,Bina,METRO-M1B Kirazli,BAĞCILAR,28.842542,41.031971
8,Hizmet Binasi,Bina,001-Beylikduzu Vektorler Birimi,BEYLİKDÜZÜ,28.642354,41.000244
9,Hizmet Binasi,Bina,001-IBB Beyoglu Sehir Planlama,BEYOĞLU,28.974385,41.03177
10,Hizmet Binasi,Bina,063-Esenler Belediye Binasi,ESENLER,28.867578,41.054031
11,Hizmet Binasi,Bina,001-Esenler Otogar Beyaz Masa,ESENLER,28.894728,41.040605
12,Hizmet Binasi,Bina,ISADEM-Esenler,ESENLER,28.874942,41.044544
13,Hizmet Binasi,Bina,METRO-M1 Esenler,ESENLER,28.886224,41.038367
14,Hizmet Binasi,Bina,001-IBB Eurodesk Temas Noktasi,FATİH,28.975377,41.012464
15,Hizmet Binasi,Bina,001-IBB Fatih Hayvan Hastanesi,FATİH,28.953686,41.016743
16,Hizmet Binasi,Bina,001-IBB Sarachane Genel Sekreterlik,FATİH,28.955329,41.013452
17,Hizmet Binasi,Bina,001-IBB Sarachane Hizmet Binasi,FATİH,28.955328,41.013451
18,Hizmet Binasi,Bina,001-IBB Kartal Ek Hizmet Binasi,KARTAL,29.188055,40.912915
19,Hizmet Binasi,Bina,001-Kartal Cevre Koruma,KARTAL,29.186798,40.912949
20,Hizmet Binasi,Bina,001-Kartal Ilaclama Birimi,KARTAL,29.188325,40.914345
21,Hizmet Binasi,Bina,ISADEM-Kartal ,KARTAL,29.167631,40.910637
22,Hizmet Binasi,Bina,ISTTELKOM-Kartal Depo,KARTAL,29.188725,40.908255
23,Hizmet Binasi,Bina,001-Seyrantepe IBB Depolari,KAĞITHANE,28.994933,41.101021
24,Hizmet Binasi,Bina,001-Seyrantepe Rayli Sistemler Mudurlugu,KAĞITHANE,28.993083,41.10109
25,Hizmet Binasi,Bina,ISKI-Genel Mudurluk,KAĞITHANE,28.963528,41.085894
26,Hizmet Binasi,Bina,059-Kucukcekmece Mezarliklar,KÜÇÜKÇEKMECE,28.770549,40.986965
27,Hizmet Binasi,Bina,001-Pendik BeyazMasa,PENDİK,29.23489,40.876219
28,Hizmet Binasi,Bina,001-Pendik Deniz Hizmetleri,PENDİK,29.23887,40.875228
29,Hizmet Binasi,Bina,ISBAK-Sariyer Tunel Birimi,SARIYER,29.026577,41.158185
30,Hizmet Binasi,Bina,059-Sultanbeyli Mezarliklar,SULTANBEYLİ,29.258734,40.968617
31,Hizmet Binasi,Bina,001-Cirpici Destek Hizmetleri,ZEYTİNBURNU,28.888033,41.000837
32,Hizmet Binasi,Bina,ISADEM-Zeytinburnu,ZEYTİNBURNU,28.90418,40.992576
33,Hizmet Binasi,Bina,059-Cekmekoy Mezarliklar,ÇEKMEKÖY,29.182762,41.043525
34,Hizmet Binasi,Bina,METRO-M5 Umraniye Carsi,ÜMRANİYE,29.096637,41.026438
35,Hizmet Binasi,Bina,METRO-M5 Uskudar,ÜSKÜDAR,29.014,41.025858
36,Hizmet Binasi,Bina,ISTTELKOM-Genel Mudurluk,ŞİŞLİ,28.994621,41.061808
37,Hizmet Binasi,Bina,061-Sisli Yol Bakim,ŞİŞLİ,28.966969,41.058538
38,Hizmet Binasi,Engelliler,003-Umraniye Engelliler Merkezi,ÜMRANİYE,29.124633,41.021038
39,Hizmet Binasi,Hal,004-Bayrampasa Hal Baskanlik,BAYRAMPAŞA,28.887653,41.051808
40,Hizmet Binasi,Hal,004-Fatih Kumkapi Balik Hali,FATİH,28.962793,41.002499
41,Hizmet Binasi,Itfaiye,007-Arnavutkoy Itfaiye,ARNAVUTKÖY,28.72888,41.201328
42,Hizmet Binasi,Itfaiye,007-Atasehir Kayisdagi Itfaiye,ATAŞEHİR,29.147047,40.979311
43,Hizmet Binasi,Itfaiye,007-Bahcelievler Kocasinan Itfaiye,BAHÇELİEVLER,28.837072,41.013993
44,Hizmet Binasi,Itfaiye,007-Florya Itfaiye,BAKIRKÖY,28.808223,40.963388
45,Hizmet Binasi,Itfaiye,007-Bayrampasa Altintepsi Itfaiye,BAYRAMPAŞA,28.896352,41.039499
46,Hizmet Binasi,Itfaiye,007-Bagcilar Itfaiye,BAĞCILAR,28.858637,41.050171
47,Hizmet Binasi,Itfaiye,007-Basaksehir Kayasehir Resneli Itfaiye,BAŞAKŞEHİR,28.741173,41.083278
48,Hizmet Binasi,Itfaiye,007-Beykoz Itfaiye,BEYKOZ,29.098316,41.134308
49,Hizmet Binasi,Itfaiye,007-Beykoz Cavusbasi Itfaiye,BEYKOZ,29.139013,41.07442
50,Hizmet Binasi,Itfaiye,007-Beykoz Kavacik Itfaiye,BEYKOZ,41.093551,41.093551
51,Hizmet Binasi,Itfaiye,007-Besiktas Itfaiye,BEŞİKTAŞ,29.019256,41.048836
52,Hizmet Binasi,Itfaiye,007-Buyukcekmece Kumburgaz Itfaiye,BÜYÜKÇEKMECE,28.468128,41.039792
53,Hizmet Binasi,Itfaiye,007-Buyukcekmece Mimar Sinan Itfaiye,BÜYÜKÇEKMECE,28.544933,41.012864
54,Hizmet Binasi,Itfaiye,007-Eyupsultan Aksemsettin Itfaiye,EYÜPSULTAN,28.917327,41.091811
55,Hizmet Binasi,Itfaiye,007-Eyupsultan Itfaiye Amirligi,EYÜPSULTAN,28.9194,41.048042
56,Hizmet Binasi,Itfaiye,007-Eyupsultan Kemerburgaz Itfaiye,EYÜPSULTAN,28.911409,41.157198
57,Hizmet Binasi,Itfaiye,007-Hasdal Afad Itfaiye,EYÜPSULTAN,28.947696,41.094413
58,Hizmet Binasi,Itfaiye,007-Kadikoy Itfaiye,KADIKÖY,29.033316,40.991251
59,Hizmet Binasi,Itfaiye,007-Kartal Yakacik Itfaiye,KARTAL,29.214861,40.943557
60,Hizmet Binasi,Itfaiye,007-Kagithane Itfaiye,KAĞITHANE,28.965102,41.086244
61,Hizmet Binasi,Itfaiye,007-Seyrantepe Itfaiye,KAĞITHANE,28.988797,41.095948
62,Hizmet Binasi,Itfaiye,007-Kagithane Sadabad Itfaiye,KAĞITHANE,28.955955,41.065614
63,Hizmet Binasi,Itfaiye,007-Maltepe Buyukbakkalkoy Itfaiye,MALTEPE,29.205994,40.972446
64,Hizmet Binasi,Itfaiye,007-Pendik Yenisehir Itfaiye,PENDİK,29.305208,40.940642
65,Hizmet Binasi,Itfaiye,007-Sancaktepe Yenidogan Itfaiye,SANCAKTEPE,29.244518,41.015628
66,Hizmet Binasi,Itfaiye,007-Sariyer Haciosman Itfaiye,SARIYER,29.026522,41.135922
67,Hizmet Binasi,Itfaiye,007-Sariyer Istinye Itfaiye,SARIYER,29.054755,41.11489
68,Hizmet Binasi,Itfaiye,007-Silivri Canta Itfaiye,SİLİVRİ,28.079969,41.085608
69,Hizmet Binasi,Itfaiye,007-Catalca Itfaiye,ÇATALCA,28.462017,41.149553
70,Hizmet Binasi,Itfaiye,007-Uskudar Unalan Itfaiye,ÜSKÜDAR,29.072233,41.001856
71,Hizmet Binasi,Itfaiye,007-Uskudar Zeynep Kamil Itfaiye,ÜSKÜDAR,29.024381,41.013839
72,Hizmet Binasi,PDM,PDM-Avcilar,AVCILAR,28.739611,40.977103
73,Hizmet Binasi,PDM,PDM-Bagcilar,BAĞCILAR,28.834522,41.028157
74,Hizmet Binasi,PDM,PDM-Eyup Sultan Nisanca,EYÜPSULTAN,28.930023,41.040696
75,Hizmet Binasi,PDM,PDM-Gaziosmanpasa,GAZİOSMANPAŞA,28.897606,41.066778
76,Hizmet Binasi,PDM,PDM-Umraniye,ÜMRANİYE,29.107246,41.023481
77,Hizmet Binasi,PDM,PDM-Uskudar,ÜSKÜDAR,29.028444,41.015376
78,Hizmet Binasi,PDM,PDM-Sisli,ŞİŞLİ,28.998286,41.066891
79,Hizmet Binasi,PTM,PDM-Beyoglu,BEYOĞLU,28.949742,41.050079
80,Hizmet Binasi,Zabita,009-Edirnekapi Zabita,EYÜPSULTAN,28.927929,41.027574
81,Hizmet Binasi,Zabita,009-Kartal Zabita,KARTAL,29.183042,40.912491
82,Hizmet Binasi,Zabita,009-Zeytinburnu Zabita,ZEYTİNBURNU,28.889221,41.001069
83,Ismek,Ismek,ISMEK-Arnavutkoy,ARNAVUTKÖY,28.739451,41.182384
84,Ismek,Ismek,ISMEK-Atasehir,ATAŞEHİR,9.080466,40.995478
85,Ismek,Ismek,ISMEK-Avcilar Parseller,AVCILAR,28.706322,40.994455
86,Ismek,Ismek,ISMEK-Bakirkoy Guzellik Merkezi,BAKIRKÖY,28.876283,40.995383
87,Ismek,Ismek,ISMEK-Bagcilar Baglar,BAĞCILAR,28.82586,41.030899
88,Ismek,Ismek,ISMEK-Bagcilar Yildiztepe,BAĞCILAR,28.85434,41.029452
89,Ismek,Ismek,ISMEK-Esenler Fatih Mahallesi,ESENLER,28.841603,41.021787
90,Ismek,Ismek,ISMEK-Capa,FATİH,28.932387,41.013871
91,Ismek,Ismek,ISMEK-Findikzade,FATİH,28.93918,41.013647
92,Ismek,Ismek,ISMEK-Kozyatagi,KADIKÖY,29.0967,40.974644
93,Ismek,Ismek,ISMEK-Rasimpasa,KADIKÖY,29.026507,40.994132
94,Kultur Merkezi,KulturMerkezi,012-Enver Oren Kultur Merkezi,BAHÇELİEVLER,28.818754,41.013616
95,Kultur Merkezi,KulturMerkezi,012-Taksim Sanat Galerisi,BEYOĞLU,28.984351,41.036582
96,Kultur Merkezi,KulturMerkezi,012-Adem Basturk Kultur Merkezi,ESENLER,28.884195,41.040078
97,Kultur Merkezi,KulturMerkezi,012-Ali Emiri Kultur Merkezi,FATİH,28.939853,41.019603
98,Kultur Merkezi,KulturMerkezi,013-Fatih Resat Nuri Sahnesi,FATİH,28.956106,41.015937
99,Kultur Merkezi,KulturMerkezi,013-Kagithane Sehir Tiyatrolari,KAĞITHANE,28.970873,41.07938
100,Kultur Merkezi,KulturMerkezi,012-Idris Gulluce Kultur Merkezi,TUZLA,29.30279,40.849875
101,Kultur Merkezi,KulturMerkezi,013-Muhsin Ertugrul Sahnesi,ŞİŞLİ,28.988714,41.046384
102,Kutuphane,Kutuphane,014-Baris Manco Halk ve Cocuk Kutuphanesi,ESENLER,28.873136,41.053895
103,Kutuphane,Kutuphane,014-Esenler Millet Bahcesi Kutuphanesi,ESENLER,28.880071,41.059893
104,Kutuphane,Kutuphane,014-Erdem Beyazit Kutuphanesi,EYÜPSULTAN,28.925762,41.078847
105,Kutuphane,Kutuphane,014-Ahmet Kabakli Kutuphanesi,FATİH,28.939788,41.019462
106,Kutuphane,Kutuphane,014-Ayse Hatun Tekkesi Kutuphanesi,FATİH,28.934745,41.026045
107,Kutuphane,Kutuphane,014-Kartal Halil Inalcik Kutuphanesi,KARTAL,29.161455,40.905838
108,Kutuphane,Kutuphane,014-Sefakoy Metin And Kutuphanesi,KÜÇÜKÇEKMECE,28.792729,40.997973
109,Kutuphane,Kutuphane,014-Sultangazi Ahmed Arif Halk Kutuphanesi,SULTANGAZİ,28.905229,41.09394
110,Kutuphane,Kutuphane,014-Alemdag Fatma Aliye Kutuphanesi,ÇEKMEKÖY,29.238127,41.053129
111,Otobus Duragi,Durak,038-Kozyatagi Otobus Duragi,KADIKÖY,29.099479,40.975596
112,Metrobus Duragi,Metrobus Duragi,069-Avcilar Merkez Universite Metrobus Duragi,AVCILAR,28.725085,40.984185
113,Metrobus Duragi,Metrobus Duragi,069-Cihangir Universite Metrobus Duragi,AVCILAR,28.713621,40.990787
114,Metrobus Duragi,Metrobus Duragi,069-Mustafa Kemal Pasa Metrobus Duragi,AVCILAR,28.706011,40.995149
115,Metrobus Duragi,Metrobus Duragi,069-Saadetdere Mahallesi Metrobus Duragi,AVCILAR,28.694133,40.99984
116,Metrobus Duragi,Metrobus Duragi,069-Sukrubey Metrobus Duragi,AVCILAR,28.731334,40.980361
117,Metrobus Duragi,Metrobus Duragi,069-Bahcelievler Metrobus Duragi,BAHÇELİEVLER,28.863467,40.995052
118,Metrobus Duragi,Metrobus Duragi,069-Yenibosna Metrobus Duragi,BAHÇELİEVLER,28.834646,40.992408
119,Metrobus Duragi,Metrobus Duragi,069-Incirli Metrobus Duragi,BAKIRKÖY,28.872508,40.997895
120,Metrobus Duragi,Metrobus Duragi,069-Bayrampasa Maltepe Metrobus Duragi,BAYRAMPAŞA,28.921474,41.023941
121,Metrobus Duragi,Metrobus Duragi,069-Beykent Hadimkoy Metrobus Duragi,BEYLİKDÜZÜ,28.631704,41.019284
122,Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Belediye Metrobus Duragi,BEYLİKDÜZÜ,28.649426,41.012535
123,Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Metrobus Duragi,BEYLİKDÜZÜ,28.656623,41.009845
124,Metrobus Duragi,Metrobus Duragi,069-Beylikduzu Tuyap Metrobus Duragi,BEYLİKDÜZÜ,28.625046,41.022027
125,Metrobus Duragi,Metrobus Duragi,069-Cumhuriyet Mahallesi Metrobus Duragi,BEYLİKDÜZÜ,28.640886,41.015778
126,Metrobus Duragi,Metrobus Duragi,069-Haramidere Metrobus Duragi,BEYLİKDÜZÜ,28.673333,41.006074
127,Metrobus Duragi,Metrobus Duragi,069-Halicioglu Metrobus Duragi,BEYOĞLU,28.946172,41.048676
128,Metrobus Duragi,Metrobus Duragi,069-Edirnekapi Metrobus Duragi,EYÜPSULTAN,28.929616,41.033459
129,Metrobus Duragi,Metrobus Duragi,069-Ayvansaray Metrobus Duragi,FATİH,28.937235,41.038498
130,Metrobus Duragi,Metrobus Duragi,069-Topkapi Metrobus Duragi,FATİH,28.91748,41.020437
131,Metrobus Duragi,Metrobus Duragi,069-Merter Metrobus Duragi,GÜNGÖREN,28.897702,41.007885
132,Metrobus Duragi,Metrobus Duragi,069-Fikirtepe Metrobus Duragi,KADIKÖY,29.047076,40.993701
133,Metrobus Duragi,Metrobus Duragi,069-Sogutlucesme Metrobus Duragi,KADIKÖY,29.037621,40.991664
134,Metrobus Duragi,Metrobus Duragi,069-Caglayan Metrobus Duragi,KAĞITHANE,28.980888,41.067502
135,Metrobus Duragi,Metrobus Duragi,069-Okmeydani Hastane Metrobus Duragi,KAĞITHANE,28.976454,41.067471
136,Metrobus Duragi,Metrobus Duragi,069-Okmeydani Metrobus Duragi,KAĞITHANE,28.96149,41.05669
137,Metrobus Duragi,Metrobus Duragi,069-Kucukcekmece Metrobus Duragi,KÜÇÜKÇEKMECE,28.768571,40.98623
138,Metrobus Duragi,Metrobus Duragi,069-Cevizlibag Metrobus Duragi,ZEYTİNBURNU,28.911086,41.016526
139,Metrobus Duragi,Metrobus Duragi,069-Zeytinburnu Metrobus Duragi,ZEYTİNBURNU,28.891292,41.00358
140,Metrobus Duragi,Metrobus Duragi,069-15 Temmuz Sehitler Koprusu Metrobus Duragi,ÜSKÜDAR,29.042553,41.036865
141,Metrobus Duragi,Metrobus Duragi,069-Acibadem Metrobus Duragi,ÜSKÜDAR,29.056885,41.014909
142,Metrobus Duragi,Metrobus Duragi,069-Altunizade Metrobus Duragi,ÜSKÜDAR,29.048627,41.021535
143,Metrobus Duragi,Metrobus Duragi,069-Burhaniye Metrobus Duragi,ÜSKÜDAR,29.046886,41.031935
144,Metrobus Duragi,Metrobus Duragi,069-Mecidiyekoy Metrobus Duragi,ŞİŞLİ,28.991766,41.066865
145,Metrobus Duragi,Metrobus Duragi,069-Zincirlikuyu Metrobus Duragi,ŞİŞLİ,29.012712,41.066239
146,Sehir Hatlari Iskelesi,Iskele,027-Beykoz Anadolu Hisari Iskelesi,BEYKOZ,29.066626,41.083229
