Location;2019;2020;2021
PDM Fatih;8;0;0
IETT-O3041;509771;71799;1710
ISKI-Esenler;1504313;1243715;11428
Null;25120646;4612;282
IETT-B5060;129208;38182;635
IETT-O3042;538811;66708;3032
IETT-B5061;259585;96876;1417
IETT-A459;511622;0;0
001-Kartal Cevre Koruma;33533;27959;82
METRO T1-CEMBERLITAS;5258565;1439173;0
IETT-B5062;487833;143046;2526
IETT-O3043;499033;98473;2032
IETT-B5063;274710;131755;1320
Metrobus-M3170;384317;173427;2752
IETT-O3044;381231;86320;1226
IETT-O3045;20226;83865;1933
Metrobus-M3171;445080;200242;3359
AdemBasturk;36;0;0
IETT-B5064;489236;101716;0
IETT-B5065;387158;138983;2141
Metrobus-M3172;540535;199239;3255
IETT-YEDEK-01;0;2670;0
IETT-O2080;369636;129106;2060
027-Eminonu Uskudar Iskelesi;0;131271;12655
IETT-O3046;286592;94711;1241
IETT-O3047;375406;59198;0
IETT-O2081;250013;103476;1091
IETT-B5066;169612;116060;2348
Metrobus-M3173;483568;193735;2711
IETT-O2082;79113;43113;1161
Metrobus-M3174;535650;184465;3622
029-FloryavEngelliler Kampi;0;0;12
038-Altunizade Metrobus Duragi;0;158728;9184
IETT-B5067;258341;115091;2251
IETT-YEDEK-03;0;450;0
IETT-O3048;258870;71844;1895
IETT-O3049;302823;134907;1520
Metrobus-M3175;443797;191150;2350
026-Alibeykoy Cep Otogar;5146343;2049547;0
IETT-B5068;33286;13777;310
IETT-O2083;329222;124019;2138
IETT-A311;37029;0;0
IETT-YEDEK-04;0;15901;0
Metrobus-M3176;402206;196732;3066
IETT-O2084;316978;108080;1752
IETT-B5069;138377;110591;1651
IETT-O2085;321260;120855;2053
025-Maltepe Spor Tesisleri;813198;267388;5146
Metrobus-M3177;395211;201125;1586
Metrobus-M3178;509086;200448;3588
017-Turgut Ozal Millet Caddesi;15268925;6284145;62405
IETT-M3214;0;6302;512
IETT-O2086;336168;120040;2664
HAVAIST-H040;492163;52197;0
HAVAIST-H041;482262;92293;0
IETT-O2087;363891;143002;1823
Metrobus-M3179;462649;184360;2087
038-Bostanci Koprusu Otobus Duragi;4678680;686790;23478
014-Alemdag Fatma Aliye Kutuphanesi;256775;190852;560
IETT-O2088;563306;106039;198
IETT-C1619;795571;326365;6651
HAVAIST-H043;337072;0;0
IETT-O2089;301830;108014;2310
HAVAIST-H044;730150;139094;0
018-Cekmekoy Yusuf Cebir Merkez Camii;0;5797;499
HAVAIST-H045;575092;148209;0
IETT-O3190;67118;91355;2023
IETT-O3191;437006;96798;1906
HAVAIST-H046;593096;143572;0
068-Basaksehir Yuvam Istanbul;0;6740;1828
024-Halic Sosyal Tesisleri;1250840;333434;6608
Metrobus-M3030;415363;68708;0
038-Eyupsultan Otakcilar Otobus Duragi;0;0;1232
031-Caglayan Abide-i Hurriyet Parki;0;573957;20453
IETT-O3192;435614;71984;1643
018-Taksim Meydan;15132570;5031066;126379
Metrobus-M3031;508075;162687;2031
001-Kartal Makine Ikmal;709457;592660;13593
Metrobus-M3032;134956;171298;0
017-Silivri Mustafa Oguzhan Sokak;0;5321;2336
ISBAK-Kagithane Tunel Santiyesi;68058;69703;2728
IETT-O3193;407085;102217;2302
BLNT-34BVY794;30142;33602;0
017-Uskudar Baglarbasi Nuhkuyusu Caddesi;0;6904;9582
IETT-O3194;227818;107959;2069
HAVAIST-H049;298060;3904;0
025-Guzelce Tenis Kortu;0;17412;671
018-Caglayan Meydan;3372159;2111188;49861
Metrobus-M3033;433170;110421;0
METRO T1-YUSUFPASA;3290283;1180319;20099
Metrobus-M3034;455851;161705;186
IETT-O3195;373079;109122;2191
029-Florya Engelliler Kampi;0;0;15387
Metrobus-M3035;351996;192008;3046
ISMEK-Sefakoy;1292589;551066;14282
014-Ahmet Kabakli Kutuphanesi;1993804;871000;3918
IETT-O3196;428335;104905;1379
IETT-O3197;458468;119375;2446
Metrobus-M3036;213268;110381;2456
